Date,Conference,Location,Link,EventID,StartDate,EndDate,Deadline,VenueDetail,About,Email,Website,Contact,Organizer,Price
07May,International Conference on Software Engineering and Computer Science (ICSECS),"Amritsar,India",https://www.conferencealerts.in/events/2064070,CA2064070,2026-05-07,2026-05-07,2026-04-18,"Amritsar , India","International Conference on Software Engineering and Computer Science  ICSECSaddresses the rapid strides and technological advancements currently witnessed in the fields of ICSECS. The conference aspires to exhibit the technical excellence of budding technocrats, research scholars, representatives from the academia and industry. This conference aims to bring together the best of globally renewed research professionals. English is the official language of the conference. We welcome paper submissions. Papers presented in the conference will be submitted for inclusion into Conference proceedings.",info.irfsr@gmail.com,http://irfsr.com/Conference/9054/ICSECS/,Conference Coordinator,International Research forum for Scientific Research,"₹2,149 (Special price for India)"
07May,"International Conference on Computer Science, Machine Learning and Artificial Intelligence (ICCSMLAI)","Lonavala,India",https://www.conferencealerts.in/events/2056347,CA2056347,2026-05-07,2026-05-07,2026-04-18,"Lonavala , India","The key motive of ICCSMLAI is to provide a world-class platform for the global participants to share their ideas and experience in person with their peers expected to join from different parts of the world. In addition, this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSMLAI outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.",info.irfconference@gmail.com,http://irfconference.org/Conference/38470/ICCSMLAI/,Conference Coordinator,Irfconference,"₹3,738 (Special price for India)"
07May,"International Conference on Computer Science, Machine Learning and Artificial Intelligence (ICCSMLAI)","Malappuram,India",https://www.conferencealerts.in/events/2056341,CA2056341,2026-05-07,2026-05-07,2026-04-18,"Malappuram , India","The key motive of ICCSMLAI is to provide a world-class platform for the global participants to share their ideas and experience in person with their peers expected to join from different parts of the world. In addition, this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICCSMLAI outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.",info.irfconference@gmail.com,http://irfconference.org/Conference/38476/ICCSMLAI/,Conference Coordinator,Irfconference,"₹3,738 (Special price for India)"
07May,International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT),"Ahmednagar,India",https://www.conferencealerts.in/events/2052334,CA2052334,2026-05-07,2026-05-07,2026-04-18,"Ahmednagar , India","ICRACSIT   is to bring together innovative academics and industrial experts in the field of Computer Science and Information Technology to a common forum. All the registered papers will be published by the World Research Library and will be submitted for review for indexing by Google Scholar etc.

This Conference is sponsored by  many International institutes. The conference would offer a large number of invited lectures from renowned speakers all over the country. The Best paper awards will be given for the papers judged to make the most significant contribution to the conference.",contact.wrfer@gmail.com,https://wrfer.org/Conference/63309/ICRACSIT/,Conference Coordinator,wrfer,"₹3,738 (Special price for India)"
07May,International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT),"Nashik,India",https://www.conferencealerts.in/events/2052323,CA2052323,2026-05-07,2026-05-07,2026-04-18,"Nashik , India","ICRACSIT   is to bring together innovative academics and industrial experts in the field of Computer Science and Information Technology to a common forum. All the registered papers will be published by the World Research Library and will be submitted for review for indexing by Google Scholar etc.

This Conference is sponsored by  many International institutes. The conference would offer a large number of invited lectures from renowned speakers all over the country. The Best paper awards will be given for the papers judged to make the most significant contribution to the conference.",contact.wrfer@gmail.com,https://wrfer.org/Conference/63326/ICRACSIT/,Conference Coordinator,wrfer,"₹3,738 (Special price for India)"
07May,International Conference on Advanced Research in Computer Science and Information Technology (ICARCSIT),"Ghaziabad,India",https://www.conferencealerts.in/events/2049059,CA2049059,2026-05-07,2026-05-07,2026-04-18,"Ghaziabad , India",The ICARCSIT conference offers a track of quality R&D s from key experts and provides an opportunity in bringing in the new techniques and horizons that will contribute to Advanced Research in Computer Science and Information Technology in the next few years. All submitted papers will be under peer review and accepted papers will be published in the conference proceeding. Both academia and industries are invited to present their papers dealing with state-of-art research and future developments.,papers.asar@gmail.com,https://asar.org.in/Conference/84785/ICARCSIT/,Conference Coordinator,Asar,"₹3,738 (Special price for India)"
07May,International Conference on Advanced Research in Computer Science and Information Technology (ICARCSIT),"Kanchipuram,India",https://www.conferencealerts.in/events/2049041,CA2049041,2026-05-07,2026-05-07,2026-04-18,"Kanchipuram , India",The ICARCSIT conference offers a track of quality R&D s from key experts and provides an opportunity in bringing in the new techniques and horizons that will contribute to Advanced Research in Computer Science and Information Technology in the next few years. All submitted papers will be under peer review and accepted papers will be published in the conference proceeding. Both academia and industries are invited to present their papers dealing with state-of-art research and future developments.,papers.asar@gmail.com,https://asar.org.in/Conference/84821/ICARCSIT/,Conference Coordinator,Asar,"₹3,738 (Special price for India)"
08May,International Conference on Software Engineering and Information Technology (ICSEIT),"Kohima,India",https://www.conferencealerts.in/events/2082290,CA2082290,2026-05-08,2026-05-08,2026-04-19,"Kohima , India","ICSEIT aims to bring together researchers, scientists, engineers, and scholar students to exchange and share their experiences, new ideas, and research results about all aspects of Mechanical and Industrial Engineering, and discuss the practical challenges encountered and the solutions adopted. The conference will be held every year to make it an ideal platform for people to share views and experiences in Software Engineering and Information Technology related areas. Past Conference Highlights.",sarc.net.in@gmail.com,http://sarc.net.in/Conference/45944/ICSEIT/,Conference Coordinator,South Asian Research Center (SARC),"₹2,336 (Special price for India)"
08May,International Conference on Software Engineering and Information Technology (ICSEIT),"Aizawl,India",https://www.conferencealerts.in/events/2082281,CA2082281,2026-05-08,2026-05-08,2026-04-19,"Aizawl , India","ICSEIT aims to bring together researchers, scientists, engineers, and scholar students to exchange and share their experiences, new ideas, and research results about all aspects of Mechanical and Industrial Engineering, and discuss the practical challenges encountered and the solutions adopted. The conference will be held every year to make it an ideal platform for people to share views and experiences in Software Engineering and Information Technology related areas. Past Conference Highlights.",sarc.net.in@gmail.com,http://sarc.net.in/Conference/45953/ICSEIT/,Conference Coordinator,South Asian Research Center (SARC),"₹2,336 (Special price for India)"
08May,"International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)","Ranipet,India",https://www.conferencealerts.in/events/2081223,CA2081223,2026-05-08,2026-05-08,2026-04-19,"Ranipet , India",The key intention of ICBDSCC is to provide opportunity for the global participants to share their ideas and experience in person with their peers expected to join from different parts on the world. In addition this gathering will help the delegates to establish research or business relations as well as to find international linkage for future collaborations in their career path. We hope that ICBDSCC outcome will lead to significant contributions to the knowledge base in these up-to-date scientific fields in scope.,papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85295/ICBDSCC/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
08May,International Conference on Software Engineering and Computer Science (ICSECS),"Ranipet,India",https://www.conferencealerts.in/events/2081219,CA2081219,2026-05-08,2026-05-08,2026-04-19,"Ranipet , India","International Conference on Software Engineering and Computer Science aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Computer Science and Software Engineering. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Computer Science and Software Engineering.",papers.academicsconference@gmail.com,http://academicsconference.com/Conference/85299/ICSECS/,Conference Coordinator,Academicsconference,"₹3,738 (Special price for India)"
